"activity" "subject" "test/train variable" "mean value"
"laying" 1 "bodyaccelerationmeanX" 0.22159824394
"laying" 1 "bodyaccelerationmeanY" -0.0405139534294
"laying" 1 "bodyaccelerationmeanZ" -0.11320355358
"laying" 1 "gravityaccelerationmeanX" -0.24888179828
"laying" 1 "gravityaccelerationmeanY" 0.70554977346
"laying" 1 "gravityaccelerationmeanZ" 0.4458177198
"laying" 1 "bodyaccelerationjerkmeanX" 0.0810865342
"laying" 1 "bodyaccelerationjerkmeanY" 0.0038382040088
"laying" 1 "bodyaccelerationjerkmeanZ" 0.010834236361
"laying" 1 "bodygyromeanX" -0.016553093978
"laying" 1 "bodygyromeanY" -0.064486124088
"laying" 1 "bodygyromeanZ" 0.14868943626
"laying" 1 "bodygyrojerkmeanX" -0.107270949192
"laying" 1 "bodygyrojerkmeanY" -0.04151728689
"laying" 1 "bodygyrojerkmeanZ" -0.0740501211
"laying" 1 "bodyaccelerationmagneticmean" -0.8419291525
"laying" 1 "gravityaccelerationmagneticmean" -0.8419291525
"laying" 1 "bodyaccelerationjerkmagneticmean" -0.9543962646
"laying" 1 "bodygyromagneticmean" -0.874759548
"laying" 1 "bodygyrojerkmagneticmean" -0.96346103
"laying" 1 "fourierbodyaccelerationmeanX" -0.9390990524
"laying" 1 "fourierbodyaccelerationmeanY" -0.86706520518
"laying" 1 "fourierbodyaccelerationmeanZ" -0.8826668762
"laying" 1 "fourierbodyaccelerationfrequencymeanX" -0.158792670508
"laying" 1 "fourierbodyaccelerationfrequencymeanY" 0.097534841586
"laying" 1 "fourierbodyaccelerationfrequencymeanZ" 0.08943765522
"laying" 1 "fourierbodyaccelerationjerkmeanX" -0.9570738838
"laying" 1 "fourierbodyaccelerationjerkmeanY" -0.9224626098
"laying" 1 "fourierbodyaccelerationjerkmeanZ" -0.9480609042
"laying" 1 "fourierbodyaccelerationjerkfrequencymeanX" 0.132419092398
"laying" 1 "fourierbodyaccelerationjerkfrequencymeanY" 0.024513618956
"laying" 1 "fourierbodyaccelerationjerkfrequencymeanZ" 0.02438794528
"laying" 1 "fourierbodygyromeanX" -0.850249174586
"laying" 1 "fourierbodygyromeanY" -0.9521914948
"laying" 1 "fourierbodygyromeanZ" -0.909302721
"laying" 1 "fourierbodygyrofrequencymeanX" -0.003546795856
"laying" 1 "fourierbodygyrofrequencymeanY" -0.091529130882
"laying" 1 "fourierbodygyrofrequencymeanZ" 0.01045812566
"laying" 1 "fourierbodyaccelerationmagneticmean" -0.8617676481
"laying" 1 "fourierbodyaccelerationmagneticfrequencymean" 0.08640856294
"laying" 1 "fourierbodyBodyaccelerationjerkmagneticmean" -0.9333003608
"laying" 1 "fourierbodyBodyaccelerationjerkmagneticfrequencymean" 0.26639115416
"laying" 1 "fourierbodyBodygyromagneticmean" -0.8621901854
"laying" 1 "fourierbodyBodygyromagneticfrequencymean" -0.1397750127
"laying" 1 "fourierbodyBodygyrojerkmagneticmean" -0.9423669466
"laying" 1 "fourierbodyBodygyrojerkmagneticfrequencymean" 0.17648590708
"laying" 1 "anglebodyaccelerationmeangravity" 0.0213659655642
"laying" 1 "anglebodyaccelerationjerkmeangravitymean" 0.00306040735
"laying" 1 "anglebodygyromeangravitymean" -0.001666984698
"laying" 1 "anglebodygyrojerkmeangravitymean" 0.08443716468
"laying" 1 "angleXgravitymean" 0.4267062264
"laying" 1 "angleYgravitymean" -0.52034381798
"laying" 1 "angleZgravitymean" -0.35241310896
"laying" 1 "bodyaccelerationstdevX" -0.9280564692
"laying" 1 "bodyaccelerationstdevY" -0.83682740562
"laying" 1 "bodyaccelerationstdevZ" -0.826061401628
"laying" 1 "gravityaccelerationstdevX" -0.8968300184
